"train_query","train_result"
"10","0"
Abang ngomong ba degel benar,abang ngomong be degel battol
abang saya tidak akan seperti itu kalau tidak ada orang yang merusak kebahagiaan nya saya tau jelas sifat dan sikap abang saya dia tidak akan diam jika ada orang yang merusak atau menghancurkan kebahagiaan nya,abang nak bagai iye mun sian urang yang merusak kebahagiaan eng aku tau jelas perangai dan sikap die an diam mun ade atau menghancurkan
abangla yang tanya,abangla yang tanyak
abangla yang tanyain,abangla yang tanyain
Ada kah cinta yang tak pernah berakhir,ade ke cinte yang tak suah berakhir
Ada kuih tak,ade kuih tak
Ada mee kah,ade mee ke
ada tak,ade tak
adakah yg punya refrensi untuk mebuat coundwntime seperti ini,adakah yg no'k refrensi kan mebuat coundwntime bagai ittok
aduh gak jelas,addoi daan jelas
aduh kasian,addoi kasian
agak kering rasanya,caddog karring gerinnang
agak sedikit asam,issem sikit masam
air mata akan berbicara saat mulut tak mampu lagi menjelaskan,ae' mate nak ngomong pas mulut tak rabbah agek menjelaskan
ajarin dong,ajarin dong
ak,ak
akan aq jemput d t4 biasa,nak aq jamput d t4 biase
akhirnya  saya sampai pada titik dimna saat melihatmu menjadi biasa saja dan mengingatmu tidak lagi luka,akhirnya  aku anggan pade titik dimna pas melihatmu menjadi biase jak dan mengingatmu an agek lukak
aku ada mendengar kabar bahwa dia sudah cerai,aku ade mendengar kabar bahwa die udah cerai
aku cuman mau  minta  maaf karna besok mau raya,saye cuman nak  nampah maaf karna issok raya
aku di,aku di
aku ga suka ngopi gule itap,aku ga suke ngopi gule itap
aku harap kamu tidak akan pernah meninggalkan aku untuk sekian kali nya,saye arap direk indak nak suah ninggalkan kan sekian kalu eng
aku ingin kamu ada disini,aku kau
aku ingin kamu ada disinj,aku kau disinj
aku ingin kepasar,aku kepasar
aku ingin kepasar,aku nak kepasar
aku ingin pasar,aku nak pasar
aku ingin pergi kepasar,aku nak kepasar
aku lapar,aku lapar
aku mencintai mu,aku cinte mu
aku nak ke pasar,aku seperti ke pasar
aku nak kepasar,saya kepasar
aku orang anambas,aku urang anambas
aku orang natuna kalaw kamu orang mana,aku urang natuna kalaw kau mane
Aku sakit kepala,saye sakit kepalak
aku sekarang lagi ada di luar kota,aku kinni age' ade di luar kota
aku tanpa kamu,aku tanpa kau
aku tidak mengerti,aku daan ngerati
aku tunggu sampai tidur,aku tantek jajak tidok
Alhamdulillah walaupun jarng posting akhir-akhir ini karna emng lg sibuk bgt tapi pesenan tetap on teruss makasiih ya yg udh order,Alhamdulillah walaupun jarng posting akhir-akhir ittok karna emng lg sibuk bgt tapi pesenan tetap on teruss makasiih iye yg udh order
am beh goli itap,am beh goli itap
Ambil cawan,ambek cawan
antu keruakkan,hantu keruakkan
aok lah  gak bisa noreh getah soalnya hujan terus,iya lah  daan bise noreh gattah soalnya ujan tolen
apa berita d sanah,ape berite d sanah
apa kabar mu disana yang jauh,ape kabar mu innun yang jauh
apa kabarmu disana apakah baik baik saja,ape kabarmu innun apeke baik jak
apa mau kmu,ape nak kmu
aq rindu padamu,aq salo' padamu
aq sangat merindukanmu,aq sangat merindukanmu
ayuk dah kita pergi mancing,ayuk dah kitte paggi ngael
badan berasa nak demam jadinya,badan berasa nak dammam jadinya
Bagus lah pn aku ngaliek suapye kau suke,bagus lah pn aku lucu suapye kamu suka
baju celana tanggan kaki,baju selawar tanggan kaki
baju celana tanggan kaki tidur banggun main mandi,baju selawar tanggan kaki tidok banggun maing mandek
Bang kalo belajar pemrograman yang harus di pelajari di awal apa ya bang,Bang kalo belajar pemrograman yang harus di pelajari awal ape iye bang
bantar,bantar
bantu juga,bantu gayye
bat,bat
beda beda,bede
belajar sendiri dong,belajar sorang dong
berangkat ke gunung,berangkat ke gunnong
berangkat ke gunung jam berapa,berangkat ke gunnong jam berape
bersihkan,gurrahe'
besok jangan sampai nggak datang bisa marah istrinya,isok usah babok sian datang ngelatap marah istrinya
besok kerja kah,isok kerajje ke
besok libur,isok
besok libur kelasnya dipake,isok
besok saya nikah dengan dia,isok aku nikah die
bilang apa,padahkan ape
bilang tanya,padahkan tanyak
Bohong kamu,bullak kau
boleh lah bingung ni mau jual apa,boleh lah kassal ni nak jual ape
boleh saja,boleh tolen
buat kata2 galau,buat kata2 galau
bukan yang cewek,bukan nang daon
bukan yang cewek itu,bukan nang daon inun
bukan yang cewek itu tu,bukan nang daon inun tu
campur campur bahasa,campor bahase
campur campur bahasan,campor bahasan
Cari jaringan lah,care' jaringan lah
Cawan mana,Cawan mane
ceremai,ceremai
cewek,cewek
cewel,cewel
cinta kamu janda cantik,cinte kau jande cerammut
ciremai,ciremai
coba bahasa sini bang,tarrai bahase sittok bang
Coba deh belajar bahasa pemrograman berbasis procedural dulu buat mempertajam logikanya,tarrai be belajar bahase pemrograman berbasis procedural dolo'k buat mempertajam logikanya
daan,daan
dah lama tak berjumpa,dah lamak tak berjumpa
datang sore hari,datang buah ari
di cari pacar,di care' cinte
di cari pacar kamu,di care' cinte kau
di cariin,di cariin
di langgar,di langgar
di rumah,di rumah
dia kena luka bakar,die kanak lukak bakar
dirumah,dirumah
duit nye bejibun,duit nye bejibun
duit nye belonggok,duit nye belonggok
duit nye timunggor,duit nye timunggor
duit nye timungin,duit nye timungin
enak ibu ni jalan jalan saya jak belum pernah bu,nyaman umak ni jalan aku jak balom suah bu
Fitur sebagai berikut,Fitur sbagai berikut
fuck,fuck
Future ga harus void kok bisa return value sama aja kayak Promise Use casenya banyak misal kalo Future dipake di FutureBuilder di StatelessWidget,Future ga harus void tang bise return value same aja' kayak Promise Use casenya bejibun kaedah kalo dipake di FutureBuilder StatelessWidget
ga suka bgopi,ga suke bgopi
gak ada di ambil orang,daan ade di ambek urang
gak kenapa,daan ngape
gak kerja jenuh,daan kerajje baus
gak mabuk sekarng udah insaf,daan mabok sekarng udah insaf
gak mabuk sekarng udah insaf yah,daan mabok sekarng udah insaf i
gak mau,daan nak
gak natal lah ya,daan natal lah iye
gak nerti bahasaya,daan nerti bahasaya
gak ngerti bahasanya,daan ngerti bahasanya
gak ngerti bahasaya,daan ngerti bahasaya
gak perlu naik perahu lagi,daan parlu naik perawu agek
gak perlu naik perahu lagi ini,daan parlu naik perawu agek ittok
Ganteng banget,ganteng inyan
gerambang,gerambang
gitat,gitat
goli itap,goli itap
goli itap mua,goli itap mua
habis itu campak ke sungai biar dimakan buaya,abis iye campak ke sungai biar dimakan jallu
habis itu lempar ke sungai biar dimakan buaya,abis iye lempar ke sungai biar dimakan jallu
hai perkenalkan namaku badol aku ingin pergi ke sambas malam ini dengan,hai kanalkan namaku badol aku nak malam itok
hai perkenalkan namaku badol aku sudah beristri,hai kanalkan namaku badol aku udah madok
hampa rasanya,hampa rasenye
hari raya,ari raya
Hay,Hay
heh belajar sayang,heh belajar sayang
hehebelajar sayang,hehebelajar sayang
Honda menampilkan sejarah inovasinya lewat paper art,Honda nampelkan sejarah inovasinya limpas paper art
HTML Javascript CSS,HTML Javascript CSS
Ini lah baju yang akan kita semua akan pakai,ittok lah baju yang nak kitte sume'eng pakai
Ini maksudnya di ilangin apa cuma invisible tapi ttep bisa di klik,ittok damenye di ilangin ape cuman invisible tapi ttep bise klik
inyan,inyan
iya kah  gak natalan lah ya,iye ke  daan natalan lah iye
iya kan,iye kan
iya lah,iye lah
iyalah banyak orang sambas juga ni di pontianak,tibe ape biak sambas juak agek di pontianak
j kalau tidak boleh gimana,j mun an boleh gimane
jadi gimana bang besok,jadi gimane bang isok
jam 12 udah boleh pulang,jam 12 udah boleh balik
