input_text,target_text
"<id> Halo, apa kabar?","<sambas> Halo, ape kabar?"
"<sambas> Halo, ape kabar?","<id> Halo, apa kabar?"
<id> Saya sedang belajar.,<sambas> Aku agek belajar.
<sambas> Aku agek belajar.,<id> Saya sedang belajar.
<id> Dimana rumahmu?,<sambas> dimane rumahmu?
<sambas> dimane rumahmu?,<id> Dimana rumahmu?
<id> Apa yang kamu lakukan?,<sambas> Agek ngape kau ye?
<sambas> Agek ngape kau ye?,<id> Apa yang kamu lakukan?
<id> Ini sangat menarik.,<sambas> Menarik juak tok.
<sambas> Menarik juak tok.,<id> Ini sangat menarik.
<id> Saya suka makan nasi.,<sambas> Aku suke makan nasek.
<sambas> Aku suke makan nasek.,<id> Saya suka makan nasi.
<id> Kapan kamu pulang?,<sambas> bile kau balik?
<sambas> bile kau balik?,<id> Kapan kamu pulang?
<id> Siapa namamu?,<sambas> sape namemu?
<sambas> sape namemu?,<id> Siapa namamu?
<id> Berapa harga ini?,<sambas> Berape harge itok?
<sambas> Berape harge itok?,<id> Berapa harga ini?
<id> Kamu lagi dimana,<sambas> kau agek dimane
<sambas> kau agek dimane,<id> Kamu lagi dimana
<id> siapa namamu,<sambas> sape namemu
<sambas> sape namemu,<id> siapa namamu
<id> kamu pergi dengan siapa,<sambas> kau paggi dengan sape
<sambas> kau paggi dengan sape,<id> kamu pergi dengan siapa
<id> apakah kamu sudah sampai?,<sambas> udah datang ke kau?
<sambas> udah datang ke kau?,<id> apakah kamu sudah sampai?
<id> kapan,<sambas> bile
<sambas> bile,<id> kapan
<id> ngantuk,<sambas> ngantok
<sambas> ngantok,<id> ngantuk
<id> rasa ingin jalan-jalan,<sambas> rase nak jalan-jalan
<sambas> rase nak jalan-jalan,<id> rasa ingin jalan-jalan
<id> saya sedang berjulan,<sambas> aku agek jualan
<sambas> aku agek jualan,<id> saya sedang berjulan
<id> lagi dimana,<sambas> agek dimane
<sambas> agek dimane,<id> lagi dimana
<id> bolehkan saya meminjam uang,<sambas> bolehke minjam duit
<sambas> bolehke minjam duit,<id> bolehkan saya meminjam uang
<id> apa nama desamu,<sambas> ape name kampongmu
<sambas> ape name kampongmu,<id> apa nama desamu
<id> lagi,<sambas> agek
<sambas> agek,<id> lagi
<id> kamu,<sambas> kau
<sambas> kau,<id> kamu
<id> aku,<sambas> aku
<sambas> aku,<id> aku
<id> saya,<sambas> aku
<sambas> aku,<id> saya
<id> kamu lagi,<sambas> kau agek
<sambas> kau agek,<id> kamu lagi
<id> aku lagi,<sambas> aku agek
<sambas> aku agek,<id> aku lagi
"<id> kamu lagi dimana?, aku lagi makan","<sambas> kau agek dimane?, aku agek makan"
"<sambas> kau agek dimane?, aku agek makan","<id> kamu lagi dimana?, aku lagi makan"
<id> dia,<sambas> die
<sambas> die,<id> dia
<id> dimana,<sambas> dimane
<sambas> dimane,<id> dimana
<id> makan,<sambas> makan
<sambas> makan,<id> makan
<id> dari mana,<sambas> dari mane
<sambas> dari mane,<id> dari mana
<id> sudah tidur ya?,<sambas> udah tidok ke?
<sambas> udah tidok ke?,<id> sudah tidur ya?
<id> tidur,<sambas> tidok
<sambas> tidok,<id> tidur
<id> iya,<sambas> aok
<sambas> aok,<id> iya
<id> iya,<sambas> iye
<sambas> iye,<id> iya
<id> mau,<sambas> maok
<sambas> maok,<id> mau
<id> sama,<sambas> same
<sambas> same,<id> sama
<id> sama,<sambas> dengan
<sambas> dengan,<id> sama
<id> enggak,<sambas> daan
<sambas> daan,<id> enggak
<id> enggak,<sambas> indak
<sambas> indak,<id> enggak
<id> suka,<sambas> suke
<sambas> suke,<id> suka
<id> kopi,<sambas> kopi
<sambas> kopi,<id> kopi
<id> jangan,<sambas> usah
<sambas> usah,<id> jangan
<id> lupa,<sambas> lupak
<sambas> lupak,<id> lupa
<id> nya,<sambas> nye
<sambas> nye,<id> nya
<id> seperti,<sambas> macam nak
<sambas> macam nak,<id> seperti
<id> dulu,<sambas> dolok
<sambas> dolok,<id> dulu
<id> yang,<sambas> yang
<sambas> yang,<id> yang
<id> yang,<sambas> nang
<sambas> nang,<id> yang
<id> iya mau sama siapa lagi,<sambas> aok nak dengan sape agek
<sambas> aok nak dengan sape agek,<id> iya mau sama siapa lagi
<id> aku mau,<sambas> aku maok
<sambas> aku maok,<id> aku mau
<id> aku ingin,<sambas> aku nak
<sambas> aku nak,<id> aku ingin
<id> aku ingin makan,<sambas> aku nak makan
<sambas> aku nak makan,<id> aku ingin makan
<id> lelah,<sambas> kappa'
<sambas> kappa',<id> lelah
<id> siapa,<sambas> sape
<sambas> sape,<id> siapa
<id> sudah,<sambas> udah
<sambas> udah,<id> sudah
<id> belum,<sambas> balom
<sambas> balom,<id> belum
<id> 21 hari lagi,<sambas> 21 ari agek
<sambas> 21 ari agek,<id> 21 hari lagi
<id> ada yang aneh,<sambas> ade yang endah
<sambas> ade yang endah,<id> ada yang aneh
<id> agama mu apa,<sambas> agame mu ape
<sambas> agame mu ape,<id> agama mu apa
<id> ajarin lah bahasa sambas,<sambas> ajarek lah bahase sambas
<sambas> ajarek lah bahase sambas,<id> ajarin lah bahasa sambas
<id> akhlak kamu itu baik,<sambas> akhlakmu ye baik
<sambas> akhlakmu ye baik,<id> akhlak kamu itu baik
<id> aku belum bisa melupakan dia,<sambas> aku balom bise melupakkan die
<sambas> aku balom bise melupakkan die,<id> aku belum bisa melupakan dia
<id> aku cinta dewi,<sambas> aku cinte dewi
<sambas> aku cinte dewi,<id> aku cinta dewi
<id> aku ingin ke pasar,<sambas> aku nak ke pasar
<sambas> aku nak ke pasar,<id> aku ingin ke pasar
<id> aku ingin makan sapi dirumah ibu,<sambas> aku nak makan sapi dirumah umak
<sambas> aku nak makan sapi dirumah umak,<id> aku ingin makan sapi dirumah ibu
<id> aku ingin pergi kepasar,<sambas> aku nak paggi kepasar
<sambas> aku nak paggi kepasar,<id> aku ingin pergi kepasar
<id> aku kangen,<sambas> aku salok
<sambas> aku salok,<id> aku kangen
<id> anak Sambas,<sambas> biak sambas
<sambas> biak sambas,<id> anak Sambas
<id> apa liat liat,<sambas> ape liat-liat
<sambas> ape liat-liat,<id> apa liat liat
<id> apa lihat,<sambas> ape liat
<sambas> ape liat,<id> apa lihat
<id> bacot kamu,<sambas> bacot kau
<sambas> bacot kau,<id> bacot kamu
<id> belum ada duit,<sambas> balom ade duit
